name,description,killed,year,duration,country
,"Afghanistan (Gandomak), 1809",,1809,0,Afghanistan
,"Britain-Sweden, 1810",,1810,0,United_Kingdom
,"Argentina-Spain, 1810-16",,1810,6,Argentina
,"Venezuela-Spain, 1810-11",,1810,1,Venezuela
,"Yoruba (Ilorin) (Nigeria), 1810",,1810,0,Yoruba
War to liberate the Banda Oriental,"Uruguay-Spain, Brazil, 1811-21",,1811,10,Uruguay
,"Morocco (Berbers), 1811-18",,1811,7,Morocco
,"Ashanti, Akim-Fante (Ghana), 1811",,1811,0,Ashanti
,"Fulani-Oyo (Nigeria), 1811",,1811,0,Fulani
,"Fulani-Hausa (Nigeria), 1811-12",,1811,1,Fulani
,"Britain-France (Madagascar and Mauritius), 1811",,1811,0,United_Kingdom
December Revolt of Hong Kyongnae,"Korea (rebellion in north), 1811-12",,1811,1,Korea
,"Hottentots, Kaffirs-Xhosas (South Africa), 1812",,1812,0,Hottentots
Bolivar's campaign in Venezuela,"Venezuela-Spain, 1813-14",,1813,1,Venezuela
,"Sweden-Denmark, 1813-14",,1813,1,Sweden
,"Algiers-Tunis, 1813",,1813,0,Algiers
,"Mombasa-Lamu (Omanis?) (Kenya), 1813",,1813,0,Mombasa
,"China (Peking and Honan), 1813-14",,1813,1,China
,"Ashanti-Fante (Ghana), 1814-16",,1814,2,Ashanti
Bolivar's campaign in Colombia,"Colombia-Spain, 1815",,1815,0,Colombia
,"Britain, Tamils-Kandy (Sri Lanka), 1815",,1815,0,United_Kingdom
Bolivar’s successful war in the north,"Venezuela, Colombia-Spain, 1816-21",,1816,5,Venezuela
,"Spain, 1816-19",,1816,3,Spain
,"Egypt-Wahhabis, 1816-18",,1816,2,Egypt
,"Britain-Pindaris (India, 1817-18",,1817,1,United_Kingdom
,"Ashanti-Gyaman (Ghana), 1818",,1818,0,Ashanti
,"Xhosa (civil war), 1818",,1818,0,Xhosa
Peterloo Massacre,"Britain, 1819",,1819,0,United_Kingdom
,"France-Senegal, 1819-21",,1819,2,France
,"Britain-Xhosas (South Africa), 1819",,1819,0,United_Kingdom
,"Sikhs-Kashmir, 1819",,1819,0,Sikhs
Balkans conflict,"Turkey-Janina, 1820-22",,1820,2,Turkey
,"Portugal, 1820",,1820,0,Portugal
,"Sakalava-Merina (Madagascar), 1820",,1820,0,Sakalava
,"China (Jahangirs in Xinjiang), 1820-28",,1820,8,China
,"Spain (Castile, Toledo, Andalusia), 1821-23",,1821,2,Spain
,"Moldavia, Wallachia-Turkey (aided by Russia), 1821-24",,1821,3,Moldova
,"Crete-Turkey, 1821-25",,1821,4,Crete
,"Ndandwe Ngoni-Tsonga (South Africa), 1821",,1821,0,Ndandwe Ngoni
,"Mthethwa Ngoni-Natal, Pondo, Swazi, Ngoni, Shangaa (South Africa), 1821-23",,1821,2,Mthethwa Ngoni
Padri War,"Holland, Maningkabau-Padri (Sumatra), 1821-25",,1821,4,Netherlands
First Central American War,"Nicaragua, El Salvador-Mexico, 1822-23",,1822,1,Nicaragua
Haiti-Santo Domingo War,"Haiti-Santo Domingo, 1822",,1822,0,Haiti
,"Egypt (central Sudan), 1822",,1822,0,Egypt
,"Portugal (uprising and mutiny in Luanda, Angola), 1822",,1822,0,Portugal
,"Muscat-Mombassans (Kenya, Tanzania, Mozambique), 1824",,1822,2,Muscat
,"Central America, 1823",,1823,0,Central America
,"Portugal, 1823-24",,1823,1,Portugal
,"Sakalava-Mafia Island (Tanzania), 1823",,1823,0,Sakalava
,"Namaqua-Herrero (Namibia), 1823",,1823,0,Namaqua
,"Merina-France (Madagascar), 1823",,1823,0,Merina
,"Afghanistan-Sikhs (Peshawar), 1823",,1823,0,Afghanistan
,"Sokoto-Bornu (Nigeria), 1824",,1824,0,Sokoto
,"Merina-Sihanaka (Madagascar), 1824",,1824,0,Merina
,"Sardinia-Tripoli, 1825",,1825,0,Sardinia
,"Britain-Algiers, 1825",,1825,0,United_Kingdom
,"Guinea-Bissau (mutiny), 1825",,1825,0,Guinea
,"Portuguese Guinea (Guinea-Bissau)-Sierra Leone, 1825",,1825,0,Portuguese Guinea
,"Merina-France (Madagascar), 1825",,1825,0,Merina
,"Guinea-Bissau (mutiny), 1826",,1826,0,Guinea
,"Afghanistan (Kabul), 1826",,1826,0,Afghanistan
,"Turkey-Crete, 1828",,1828,0,Turkey
,"Sakalava-Merina, 1828",,1828,0,Sakalava
,"Central American Republic, 1829-30",,1829,1,Central American Republic
,"Peru-Ecuador, 1829",,1829,0,Peru
,"Afghanistan-Sikhs, 1829-37",,1829,8,Afghanistan
,"Spain, 1830",,1830,0,Spain
,"Switzerland, 1830-56",,1830,26,Switzerland
,"Germany (revolts in Saxony, Hesse, and Brunswick), 1830-31",,1830,1,Saxony
,"Egypt-Shilluk (Sudan), 1830",,1830,0,Egypt
,"Nama-Herrero (Namibia), 1830-42",,1830,12,Nama
,"Luba-Kazembe (Zaire), 1830",,1830,0,Luba
,"Baputi, Bamaru, Hlubi (Basutos)-Zulus, Fingos, Griquas, Matabele (South Africa), 1830",,1830,0,Baputi
,"Matabele-Basutos?, Griquas, Koranas (South Africa), 1830-31",,1830,1,Matabele
,"Makua-Yao (Madagascar?), 1830",,1830,0,Makua
,"Holland-Sumatra (Padris), 1830-37",,1830,7,Netherlands
,"Brazil, 1831-40",,1831,9,Brazil
Second Central American War,"Costa Rica, Guatamala, Honduras, Nicaragua, El Salvador, 1831-45",,1831,14,Costa_Rica
Bosnia-Turkish War,"Bosnia-Turkey, 1831-37",,1831,6,Bosnia
,"Egypt-Hadendowa (Kassala in Sudan), 1831",,1831,0,Egypt
,"Temne-Loko, 1831-41",,1831,10,Temne
Russo-Circassian War,"Russia-Circassians (Caucasus), 1832-39",,1832,7,Russia
,"Greece, 1832-33",,1832,1,Greece
,"France-Algeria (Abd el Kadar), 1832-34",,1832,2,France
,"Egypt-Ethiopia (Sudan), 1832-37",,1832,5,Egypt
,"Trarzas-France (Mauritania), 1832",,1832,0,Trarzas
,"Turkey (Crete), 1833",,1833,0,Turkey
,"Egypt (northern Sudan), 1833",,1833,0,Egypt
,"Abagaza-Portugal, Shangaa (Delagoa Bay to eastern Zimbabwe), 1833-36",,1833,3,Abagaza
,"Persia-Afghanistan (Herat), 1833-34",,1833,1,Persia
,"Xhosa-Britain (Cape Colony, South Africa), 1834-35",,1834,1,Xhosa
,"France-Algeria (Abd el Kadar), 1835-37",,1835,2,France
Peru-Bolivian War,"Bolivia-Peru, 1835",,1835,0,Bolivia
,"Turkey-Tripoli, 1835",,1835,0,Turkey
,"Guinea-Bissau (Miguelist revolution), 1835",,1835,0,Guinea
,"Egypt (Bishariyan)?, 1836",,1836,0,Egypt
Mackenzie's Rebellion,"Canada (Ontario), 1837",,1837,0,Ontario
Papineau's Rebellion,"Canada (Quebec), 1837",,1837,0,Quebec
,"Afghanistan-Sikhs (Jamrud), 1837",,1837,0,Afghanistan
,"Japan (Osaka), 1837",,1837,0,Japan
,"Britain (Chartist Rising in Monmouth), 1839",,1839,0,Wales
Kihae Massacre,"Korea (catholics), 1839",,1839,0,Korea
,"Mexico (Yucatan), 1840-43",,1840,3,Yucatan
,"Spain, 1840-43",,1840,3,Spain
,"Egypt (Hadendowa in Sudan), 1840",,1840,0,Egypt
,"Ovimbundu-Imbangala (Angola), 1840",,1840,0,Ovimbundu
,"Matabele-Kalanga, Rozwi, 1840",,1840,0,Matabele
,"Afrikaners-Pondo (South Africa), 1840",,1840,0,Afrikaners
,"Turkey-Bulgaria, 1841",,1841,0,Turkey
,"Turkey (Crete), 1841",,1841,0,Turkey
,"Britain-Boers (Natal, South Africa), 1842-43",,1842,1,United_Kingdom
,"Muscat-East African coast, 1842-52",,1842,10,Muscat
,"Haiti, 1843",,1843,0,Haiti
,"Fulani-Yoruba (Nigeria), 1843",,1843,0,Fulani
First Maori War,"Britain-Maoris (New Zealand), 1843-47",,1843,4,United_Kingdom
,"Spain-Cuba, 1844",,1844,0,Spain
,"Santo Domingo-Haiti, 1844",,1844,0,Santo Domingo
,"Egypt (Hadendowa in Sudan), 1844",,1844,0,Egypt
,"Hausa-Bornu (Nigeria), 1844",,1844,0,Hausa
,"(Guinea-Bissau)-Portugal, 1844-45",,1844,1,Guinea-Bissau
,"Spain-Philippines (Manila), 1844",,1844,0,Spain
,"Mexico (Yaquis uprising), 1845-47",,1845,2,Mexico
,"China (Islamic rebellion) (Yunnan), 1845-48",,1845,3,China
,"Britain-Xhosas (Cape Colony, South Africa), 1846-47",,1846,1,United_Kingdom
,"Peru-Spain, 1846",,1846,0,Peru
,"Spain, 1846",,1846,0,Spain
,"Portugal (with intervention by Spain and Britain), 1846-50",,1846,4,Portugal
War of the Sonderbund,"Switzerland, 1847",,1847,0,Switzerland
Mitre Rebellion,"Argentina, 1847-55",,1847,8,Argentina
,"Russia-Kazakhs, 1847-53",,1847,6,Russia
,"Moldavia, Wallachia-Russia, Turkey, 1848",,1848,0,Moldova
,"Filipinos (Moslems)-Spain, 1848-50",,1848,2,Filipinos
,"Austria-Czechs, 1848",,1848,0,Austria
,"Austria-Poland (Cracow), 1848",,1848,0,Austria
,"Romania (Wallachia, with Russian and Turkish intervention), 1848",,1848,0,Romania
,"Germany (Berlin), 1848",,1848,0,Germany
Baden War,"Germany (Baden), 1848",,1848,0,Germany
,"Iran (religious), 1848-50",,1848,2,Iran
,"France-slave traders (Liberia), 1848-50",,1848,2,France
,"Portugal-Angola? (Bonde, Cassange, Angola?)",,1848,4,Portugal
,"Ceylon-Britain, 1848",,1848,0,Ceylon
,"Canada, 1849",,1849,0,Canada
Third Central American War,"Central America, 1849-58",,1849,9,Central America
,"Germany (Saxony), 1849",,1849,0,Saxony
,"Turkey-Bosnians, 1849-50",,1849,1,Turkey
,"France-Algeria, 1849-54",,1849,5,France
Lopez Expeditions,"Cuba-Spain, 1850-51",,1850,1,Cuba
,"Turkey-Bulgarians, 1850",,1850,0,Turkey
,"Futa Jalon-Segu, Kaarta, Massina (Guinea), 1850",,1850,0,Futa Jalon
,"Portugal-Imbangala (Angola?), 1850-52",,1850,2,Portugal
,"Kenya (Takaungu-Gazi), 1850",,1850,0,Kenya
,"Russia-Kokand (Kirghistan), 1850",,1850,0,Russia
,"Afghanistan, 1850-70",,1850,20,Afghanistan
,"Cuba-Spain, 1851",,1851,0,Cuba
,"(Guinea-Bissau), 1851",,1851,0,Guinea-Bissau
,"Britain-Yoruba (Nigeria), 1851",,1851,0,United_Kingdom
,"Dahomey-Yoruba (Nigeria), 1851",,1851,0,Dahomey
,"Britain-Hottentots (South Africa), 1851-52",,1851,1,United_Kingdom
,"Basutos-Kaffirs (South Africa), 1851-52",,1851,1,Basutos
,"Britain-Basutos (South Africa), 1851-53",,1851,2,United_Kingdom
,"Sumatrans-Holland, 1851",,1851,0,Sumatrans
Conquest of Turkestan,"Russia-Turkestan, 1852-64",,1852,12,Russia
,"Russia-Kokand (Kirghistan), 1852",,1852,0,Russia
,"Tahiti-France, 1852",,1852,0,Tahiti
,"Mexico, 1853-55",,1853,2,Mexico
,"(Guinea-Bissau), 1853",,1853,0,Guinea-Bissau
,"(Guinea-Bissau), 1853",,1853,0,Guinea-Bissau
,"Ethiopia (Kwara-Gojjam, Begemder, Tigrai, Shoa), 1853",,1853,0,Ethiopia
,"Russia-Turkestan (Akh-Mechet), 1853",,1853,0,Russia
,"China (Triads in Shanghai), 1853-55",,1853,2,China
July Revolution,"Spain, 1854",,1854,0,Spain
First Senegalese War,"France-Tukulors (Senegal, Mali), 1854-61",,1854,7,France
,"Britain-Bantu (South Africa), 1854",,1854,0,United_Kingdom
,"Ethiopia-Tigre, 1854",,1854,0,Ethiopia
,"Russia-China (Maritime Province), 1854-60",,1854,6,Russia
Second Haiti-Santo Domingo War,"Haiti-Santo Domingo, 1855-56",,1855,1,Haiti
,"Soninki-Marabout (Gambia), 1855",,1855,0,Soninki
,"Trarza-Oualo (Mauritania), 1855",,1855,0,Trarza
,"France-Oualo, Braknas (Mauritania), 1855",,1855,0,France
,"France-Ivory Coast (Jack-Jack), 1855",,1855,0,France
,"Wovea (Berber)-Bimbia (Zaire?), 1855",,1855,0,Wovea
,"Afghanistan (Kandahar), 1855",,1855,0,Afghanistan
Third Central American War,"Costa Rica, Honduras, El Salvador-Nicaragua, 1865-57",,1856,1,Costa_Rica
,"Russia-Circassians (Caucusus), 1855-59",,1855,4,Russia
,"China (Muslim revolt in Yunnan), 1855-73",,1855,18,China
,"Persia-Afghanistan, 1856-57",,1856,1,Persia
,"Spain, 1856",,1856,0,Spain
,"France-Senegal (Sine-Saloun), 1856-58",,1856,2,France
,"Zulus, 1856",,1856,0,Zulus
,"China (Islamic rebellion) (Yunnan), 1856-73",,1856,17,China
,"Russia-Georgia, 1857-58",,1857,1,Russia
,"Pretorius Afrikaners-Orange Free State Afrikaners (South Africa), 1857",,1857,0,Pretorius Afrikaners
,"Haiti, 1858",,1858,0,Haiti
,"Turkey (Crete), 1858",,1858,0,Turkey
,"Basutos, Bushmen, Koranas, Batalpin-Afrikaners (Orange Free State, South Africa), 1858",,1858,0,Basutos
Peru-Ecuador War,"Peru-Ecuador, 1859",,1859,0,Peru
,"Britain-Oman (Zanzibar), 1859",,1859,0,United_Kingdom
,"Turkey-Herzogovina, 1860-61",,1860,1,Turkey
,"(Guinea-Bissau)-Portugal, 1860",,1860,0,Guinea-Bissau
,"Russia-Turkestan (Kokand) (Kirghistan), 1860-66",,1860,6,Russia
,"Britain-Maoris (New Zealand), 1860-61",,1860,1,United_Kingdom
,"Russia-Poland, 1861",,1861,0,Russia
,"Britain-Koya (Nigeria?), 1861",,1861,0,United_Kingdom
,"Protugal-Jaga (Zaire?), 1861-62",,1861,1,Portugal
,"Greece, 1862",,1862,0,Greece
,"France-Futa (Guinea), 1862",,1862,0,France
,"Egypt-Ethiopia, 1862",,1862,0,Egypt
,"Siam-Cambodia, France, 1862-63",,1862,1,Siam
,"China (Moslems in Sinkiang) (Khojas), 1862-64",,1862,2,China
,"Uruguay, 1863-72",,1863,9,Uruguay
Fourth Central American War,"Guatamala, Nicaragua-Honduras, El Salvador, 1863",,1863,0,Guatemala
,"Britain-Wahabis (Arabia), 1863",,1863,0,United_Kingdom
,"Tukulors-Segu (Timbuktoo, Mali), 1863",,1863,0,TUnited_Kingdomulors
,"Nama-Herrero (Namibia), 1863-70",,1863,7,Nama
,"Afghanistan-Persia (Herat), 1863",,1863,0,Afghanistan
Meiji Restoration,"Japan, 1863-69",,1863,6,Japan
,"Russia-Georgia, 1864",,1864,0,Russia
,"Egypt (mutiny in Sudan), 1864",,1864,0,Egypt
,"France-Cayor (Senegal), 1864",,1864,0,France
,"Dahomey-Egba, Britain (Abeokuta, Nigeria), 1864-65",,1864,1,Dahomey
,"Barotse-Makololo (Zambia), 1864",,1864,0,Barotse
,"Afghanistan, 1864",,1864,0,Afghanistan
,"Panama, 1865",,1865,0,Panama
,"Guatemala, Nicaragua-El Salvador, Honduras, 1865-67",,1865,2,Guatemala
,"Ashantis-Britain (Ghana), 1865",,1865,0,Ashantis
,"Fula-Mandingos (Guinea), 1865",,1865,0,Fula
,"France-Senegal (Saloun), 1865",,1865,0,France
,"Ethiopia-Shoa, 1865",,1865,0,Ethiopia
Spanish Civil War,"Spain, 1866",,1866,0,Spain
,"Akwa-Bell (Cameroon?), 1866",,1866,0,Akwa
,"Ethiopia (Gondor rebellion), 1866-68",,1866,2,Ethiopia
,"Afghanistan, 1866-69",,1866,3,Afghanistan
,"China (peasants), 1866-68",,1866,2,China
Four Corners War,"Japan, 1866",,1866,0,Japan
Pyongin Massacre,"Korea, 1866",,1866,0,Korea
,"Bolivia, 1867-70",,1867,3,Bolivia
,"Haiti, 1867-69",,1867,2,Haiti
,"China (Islamic rebellion) (Gansu, Ningxia, Shanxi), 1867-73",,1867,6,China
El Grito de Lares,"Puerto Rico-Spain, 1868",,1868,0,Puerto_Rico
,"Oman (Imamate), 1868",,1868,0,Oman
,"Egypt-Eritrea, 1868-78",,1868,10,Egypt
,"Britain-Ashantis (Ghana), 1868-69",,1868,1,United_Kingdom
,"Arabs, Swahili-Kazembe (Zaire), 1868-70",,1868,2,Arabs
,"Britain?-Herero (Namibia), 1868-70",,1868,2,United_Kingdom
,"Britain-Maoris (New Zealand), 1868-70",,1868,2,United_Kingdom
,"Korea (catholics), 1868",,1868,0,Korea
,"China (Islamic rebellion) (Xinjiang), 1868-80",,1868,12,China
Red River Rebellion,"Canada (Manitoba), 1869-70",,1869,1,Canada
,"(Austria-Hungary)-Dalmatia, 1869-70",,1869,1,(Austria-Hungary)
,"France-Cayor (Senegal), 1869",,1869,0,France
,"Ajuran, Boran Galla-Warday (Wajir, Ethiopia ), 1869-72",,1869,3,Ajuran
,"France, 1870",,1870,0,France
,"France-Algeria (Kabyles), 1870",,1870,0,France
,"Egypt-Sudan, Somalia, Ethiopia, 1870-76",,1870,6,Egypt
,"Russia-Shakrisabs (?), 1870",,1870,0,Russia
,"Guatamala, 1871",,1871,0,Guatemala
,"Portugal-(Guinea-Bissau), 1871",,1871,0,Portugal
,"Mirambo-Tabora (Tanzania), 1871",,1871,0,Mirambo
,"Ethiopia-Wallo Galla, 1871-76",,1871,5,Ethiopia
,"Russia-Kulja (?) (Turkestan?), 1871",,1871,0,Russia
,"China-Russia (Yili, China), 1871",,1871,0,China
SS General Sherman Incident,"Korea-USA, 1871",,1871,0,Korea
,"Egypt-Sudan (Zubair in Bahr al-Ghazal), 1872",,1872,0,Egypt
,"Gazi-Zanzibar, 1872",,1872,0,Gazi
,"Panama, 1873",,1873,0,Panama
,"Argentina, 1873-74",,1873,1,Argentina
,"Peru, 1873-74",,1873,1,Peru
,"Russia-Khiva (Uzbekistan), 1873",,1873,0,Russia
,"Sudan (Zubair)-Darfur, 1873-74",,1873,1,Sudan
,"Gazi-Zanzibar, 1873",,1873,0,Gazi
,"Russia-Kokand (West Turkestan) (Kirghistan), 1873-76",,1873,3,Russia
,"Afghanistan (Kabul), 1873",,1873,0,Afghanistan
Red River War,"USA-Plains Indians (Texas, Oklahoma, Kansas), 1874-75",,1874,1,United_States
,"Morocco (Rifs), 1874",,1874,0,Morocco
,"Japan (Shiga ken), 1874",,1874,0,Japan
,"Japan-Formosa, 1874",,1874,0,Japan
,"Bulgaria-Turkey, 1875-76",,1875,1,Bulgaria
,"France-Toro (Senegal, Gambia), 1875",,1875,0,France
,"Ashanti-Bagru (Ghana), 1875",,1875,0,Ashanti
,"Nyungu ya Mawe-Kirurumo (Tanzania), 1875",,1875,0,Nyungu ya Mawe
,"Russia-Turkestan (Kokand), 1875-76",,1875,1,Russia
,"Japan-Korea, 1875",,1875,0,Japan
,"Turkey, 1876",,1876,0,Turkey
,"Morocco (RIfs), 1876",,1876,0,Morocco
,"Britain?-Secocoeni (?), 1876-77",,1876,1,United_Kingdom
,"China (Moslems in Sinkiang) (Khojas), 1876-78",,1876,2,China
,"China-East Turkestan (Kashgar and Dongas), 1876-77",,1876,1,China
Jinpuren rebellion,"Japan (Kumamoto ken), 1876",,1876,0,Japan
Miyazaki rebellion,"Japan (Fukuoka ken), 1876",,1876,0,Japan
,"Japan (Yamaguchi ken), 1876",,1876,0,Japan
,"Ibadan-Egbas, Ijebus, Fulani (Nigeria?), 1877-86",,1877,9,Ibadan
,"Britain?-Galekas (?), 1877-78",,1877,1,United_Kingdom
,"Crete (aided by Greece)-Turkey, 1878",,1878,0,Crete
,"France-Senegal, Gambia, 1878",,1878,0,France
,"Bolor-Jufunco-Portugal (Guinea?), 1878",,1878,0,Bolor
,"Britain-Awuna (Ghana), 1878",,1878,0,United_Kingdom
,"Britain-Dahomey (Benin), 1878",,1878,0,United_Kingdom
,"Nyungu ya Mawe-British (White Fathers) (Tanzania), 1878",,1878,0,Nyungu ya Mawe
,"Hehe-Ngoni (Tanzania), 1878-81",,1878,3,Hehe
,"Barotseland (Zambia), 1878",,1878,0,Barotseland
,"France-Algeria, 1879",,1878,0,France
,"France-Moreah, 1879-82",,1878,4,France
,"France-Senegal, 1880-81",,1880,1,France
,"Sierra Leone, 1880-84",,1880,4,Sierra_Leone
,"Bambara-Dio (Mali), 1880",,1880,0,Bambara
,"Nama-Herrero (Namibia), 1880-92",,1880,12,Nama
,"Arabs, Swahili-Mombasa (Kenya), 1880",,1880,0,Arabs
,"Ethiopia-Galla, 1880-82",,1880,2,Ethiopia
,"Tyo-Bobangi (Zaire?), 1880",,1880,0,Tyo
,"Holland-Atjeh (Sumatra), 1880-1908",,1880,28,Netherlands
,"Chile-Araucaninan Indians, 1881-83",,1881,2,Chile
,"(Austria-Hungary)-Bosnia, Herzegovina, 1881",,1881,0,(Austria-Hungary)
,"France-Bosseyabes (Guinea), 1881",,1881,0,France
,"France-Almamy Samori (Guinea, Mali), 1881-88",,1881,7,France
,"Nupe (rebels) (with United Africa Company involvement) (Nigeria), 1881-82",,1881,1,Nupe
,"Opabo-Kwa Ibo (Nigeria), 1881",,1881,0,Opabo
,"Boers-? (western Transvaal), 1881-82",,1881,1,Boers
,"Afghanistan (Kandahar), 1881",,1881,0,Afghanistan
,"Afghanistan (Ghilzai), 1881",,1881,0,Afghanistan
,"Afghanistan (Kunar), 1881",,1881,0,Afghanistan
,"Afghanistan (Hazara), 1881-83",,1881,2,Afghanistan
,"Portugal-Jubada (Guinea-Bissau?), 1882",,1882,0,Portugal
,"Abomey-Porto Novo (Benin), 1882",,1882,0,Abomey
,"Hehe-Nyamwezi, Ngoni (Tanzania), 1882",,1882,0,Hehe
,"Korea (with Chinese and Japanese intervention), 1882",,1882,0,Korea
,"Msidi-Other tribes (east Congo), 1883",,1883,0,Msidi
,"Zulu (civil war) (South Africa), 1883-84",,1883,1,Zulu
,"Peru, 1883-84",,1883,1,Peru
,"Portugal-Fula (Guinea? Saint Belchier), 1883",,1883,0,Portugal
,"Ashanti (Ghana), 1883-84",,1883,1,Ashanti
,"Afghanistan (Meymeneh), 1883",,1883,0,Afghanistan
,"Afghanistan (Shinwari), 1883",,1883,0,Afghanistan
,"Zululand (South Africa), 1883-84",,1883,1,Zululand
,"Portugal-Guinea Bissau? (Jebelor, Jeboucer, Beri), 1884",,1884,0,Portugal
,"Germany-Togo, 1884-85",,1884,1,Germany
,"Barotseland (rebellion) (Zambia), 1884",,1884,1,Barotseland
,"Maseko-Yao? (Madagascar?), 1884",,1884,0,Maseko
,"Russia-Turkomans (Turkmenistan), 1884",,1884,0,Russia
Kapsin Revolution,"Korea (with Chinese and Japanese intervention), 1884",,1884,0,Korea
Northwest Rebellion,"Canada (Saskatchewan), 1885",,1885,0,Canada
,"Sudan (Mahdists)-Ethiopia, 1885-89",,1885,4,Sudan
,"France-Niger (Tuaregs), 1885-1893",,1885,8,France
,"Chokwe-Lunda (Zaire), 1885-87",,1885,2,Chokwe
,"Britain-Italy (in Ethiopia and Eritrea?), 1885-95",,1885,10,United_Kingdom
,"Siam-Laos, France, 1885-93",,1885,8,Siam
,"Korea, Russia-Britain (Korea), 1885",,1885,0,Korea
,"Portugal-Fulas (Guinea?), 1886",,1886,0,Portugal
,"Britain-Nigeria (Ibo?), 1886",,1886,0,United_Kingdom
,"Afghanistan (Ghilzai with Hazara support), 1886-87",,1886,1,Afghanistan
,"Ashanti (Ghana), 1887-96",,1887,9,Ashanti
,"LCATC-Arabs (Tanzania), 1887-89",,1887,2,LCATC
,"Italy-Somalis, 1887-89",,1887,2,Italy
,"Ethiopia (Galla and Sidama), 1887-94",,1887,7,Ethiopia
,"France-Samory (Mali, Ivory Coast), 1888-91",,1888,3,France
,"Barotse-Ila (Zambia), 1888",,1888,0,Barotse
,"Afghanistan (Afghan Turkestan), 1888",,1888,0,Afghanistan
Guatemala-Salvador War,"Guatemala, Honduras-El Salvador, 1889",,1889,0,Guatemala
,"Ganadu-Portugal, 1889",,1889,0,Ganadu
,"Argentina, 1890",,1890,0,Argentina
,"Portugal-Xime (Guinea?), 1890",,1890,0,Portugal
,"Germany-Bwana Heri (Tanzania), 1890",,1890,0,Germany
,"France-Tunisia, 1891",,1891,0,France
,"England, Egypt-Sudan (Dongola), 1891",,1891,0,England
,"Msiri (Basanga revolt) (Zaire), 1891",,1891,0,Msiri
Wahehe War,"Germany-Wahehe, (Tanzania), 1891-93",,1891,2,Germany
,"Comoros Islands, 1891",,1891,0,Comoros Islands
,"Afghanistan (Hazara), 1891-93",,1891,2,Afghanistan
,"France-Senegal, 1892-94",,1892,2,France
,"Xime-Portugal (Guinea?), 1892",,1892,0,Xime
,"Britain-Egbados, 1892",,1892,0,United_Kingdom
,"Kano (Nigeria), 1892",,1892,0,Kano
,"Chagga-Germany (Moshi, Tanzania), 1892-93",,1892,1,Chagga
,"Matabele-Mashona (South Africa), 1892",,1892,0,Matabele
,"Russia-Afghanistan, 1892-94",,1892,2,Russia
,"Argentina, 1893",,1893,0,Argentina
,"Germany-Nama (Namibia), 1893-94",,1893,1,Germany
,"Britain-Matabele, Shonas (Zimbabwe), 1893-94",,1893,1,United_Kingdom
Second Mandingo-French War,"France-Samori (Ivory Coast), 1894-95",,1894,1,France
,"Bissau-Portugal, 1894-95",,1894,1,Bissau
,"Britain-Bunyoro (Uganda), 1894",,1894,0,United_Kingdom
Tonghak Rebellion,"Korea (with Chinese and Japanese intervention), 1894",,1894,0,Korea
,"Forrea-Portugal (Guinea?), 1895",,1895,0,Forrea
,"France (Batetela mutiny in Zaire), 1895",,1895,0,France
,"Manyema (Tippu Tib)-Chokwe (Zaire), 1895",,1895,0,Manyema
,"France-northeast Congo (Zaire), 1895-97",,1895,2,France
,"Britain, Makonde-Arabs (Kalonga, Malawi), 1895",,1895,0,United_Kingdom
Jameson Raid,"Britain-Boers (Transvaal, South Africa), 1895-96",,1895,1,United_Kingdom
,"Mozambique-Portugal, 1895-99",,1895,4,Mozambique
,"Britain-India (Chitral), 1895",,1895,0,United_Kingdom
,"Afghanistan-Kafiristan, 1895-96",,1895,1,Afghanistan
,"China-Dongas, 1895 ?",,1895,0,China
,"Korea (Bingfei), 1895",,1895,0,Korea
,"Germany, Herrero, Nama-Herrero, Khoi (eastern Namibia), 1896",,1896,0,Germany
,"Britain-Zanzibar, 1896",,1896,0,United_Kingdom
,"Britain-Yao, Chewa (Mozambique), 1896",,1896,0,United_Kingdom
,"Russia (Chinese outlaws), 1896",,1896,0,Russia
,"Netherlands-Achin (Indonesia), 1896",,1896,0,Netherlands
Costa Rica-Nicaragua War,"Nicaragua-Costa Rica, 1897",,1897,0,Nicaragua
,"Uruguay, 1897",,1897,0,Uruguay
,"Forrea-Portugal (Guinea?), 1897",,1897,0,Forrea
Betetela War,"Belgium-Batetela (Upper Congo), 1897-1900",,1897,3,Belgium
,"Britain-Bunyoro, Buganda (Uganda), 1897",,1897,0,United_Kingdom
,"Belgium (mutiny of Congolese troops in Uvira), 1897",,1897,0,Belgium
,"Germany (mutiny in Dirfi (Rwanda?)), 1897-99",,1897,2,Germany
,"Germany-Ngoni (Tanzania), 1897",,1897,0,Germany
,"Germany-Hehe (Tanzania), 1897-98",,1897,1,Germany
,"Ethiopia-Somalia, 1897-1900",,1897,3,Ethiopia
,"Ethiopia-Galla, 1897-99",,1897,2,Ethiopia
,"Venezuela, 1898-99",,1898,1,Venezuela
,"Italy, 1898",,1898,0,Italy
,"Russia-Ishan?, 1898",,1898,0,Russia
Third Mandingo-French War,"France-Samori (Ivory Coast), 1898",,1898,0,France
,"Equatorial Guinea (Rio Muni)-Spain, 1898",,1898,0,Equatorial_Guinea
,"Belgium-Tyo (Zaire?), 1898",,1898,0,Belgium
,"Lunda-Chokwe (Zaire), 1898",,1898,0,Lunda
,"Kenya (Masai civil war), 1898-1900",,1898,2,Kenya
,"Britain-Ngoni (Zambia), 1898",,1898,0,United_Kingdom
